F4/5 Family ID,No of plants required,flowering time,,,620 plants,,,,,,,,,,,,,,
MBxKSF4_19,10,early1,,,,,44,MBxKSF4_15,MBxKSF4_17,MBxKSF4_15,MBxKSF4_17,MBxKSF4_15,MBxKSF4_17,MBxKSF4_15,MBxKSF4_17,MBxKSF4_30,MBxKSF4_57,MBxKSF4_45,MBxKSF4_05
MBxKSF4_27,10,early1,,,,,45,MBxKSF4_25,MBxKSF4_21,MBxKSF4_25,MBxKSF4_21,MBxKSF4_25,MBxKSF4_21,MBxKSF4_25,MBxKSF4_21,MBxKSF4_34,MBxKSF4_23,MBxKSF4_02,MBxKSF4_19
MBxKSF4_42,10,early1,,,,,46,MBxKSF4_35,MBxKSF4_26,MBxKSF4_35,MBxKSF4_26,MBxKSF4_35,MBxKSF4_26,MBxKSF4_35,MBxKSF4_26,MBxKSF4_36,MBxKSF4_29,MBxKSF4_28,MBxKSF4_27
MBxKSF4_43,10,early1,,,,,47,MBxKSF4_44,MBxKSF4_33,MBxKSF4_44,MBxKSF4_33,MBxKSF4_44,MBxKSF4_33,MBxKSF4_44,MBxKSF4_33,MBxKSF4_56,MBxKSF4_38,MBxKSF4_30,MBxKSF4_42
MBxKSF4_51,10,early1,,,,,48,MBxKSF4_50,MBxKSF4_58,MBxKSF4_50,MBxKSF4_58,MBxKSF4_50,MBxKSF4_58,MBxKSF4_50,MBxKSF4_58,MBxKSF4_62,MBxKSF4_41,MBxKSF4_34,MBxKSF4_43
MBxKSF4_57,10,early1,,,,,49,MBxKSF4_61,MBxKSF4_67,MBxKSF4_61,MBxKSF4_67,MBxKSF4_61,MBxKSF4_67,MBxKSF4_61,MBxKSF4_67,MBxKSF4_03,F5_MBxKS_130,MBxKSF4_36,MBxKSF4_51
MBxKSF4_23,10,early1,,,,,50,MBxKSF4_63,MBxKSF4_32,MBxKSF4_63,MBxKSF4_32,MBxKSF4_63,MBxKSF4_32,MBxKSF4_63,MBxKSF4_32,MBxKSF4_05,MBxKSF4_45,MBxKSF4_56,MBxKSF4_57
MBxKSF4_29,10,early1,,,,,51,MBxKSF4_64,MBxKSF4_46,MBxKSF4_64,MBxKSF4_46,MBxKSF4_64,MBxKSF4_46,MBxKSF4_64,MBxKSF4_46,MBxKSF4_19,parent,MBxKSF4_62,MBxKSF4_23
MBxKSF4_38,10,early1,,,,,52,MBxKSF4_70,parent,MBxKSF4_70,parent,MBxKSF4_70,parent,MBxKSF4_70,parent,parent,parent,parent,MBxKSF4_29
MBxKSF4_41,10,UK2,,,,,,,,,,,,,,,,,MBxKSF4_38
F5_MBxKS_130,10,UK2,,,,,,,,,,,,,,,,,MBxKSF4_41
MBxKSF4_45,10,UK2,,,,,,,,,,,,,,,,,F5_MBxKS_130
MBxKSF4_65,10,UK1,,,,,,,,,,,,,,,,,MBxKSF4_45
MBxKSF4_69,10,UK1,,,,,,,,,,,,,,,,,
MBxKSF4_75,10,UK1,,,,,,,,,,,,,,,,,
MBxKSF4_01,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_17,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_21,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_26,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_33,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_58,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_67,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_32,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_46,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_60,10,late2,,,,,,,,,,,,,,,,,
MBxKSF4_13,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_15,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_25,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_35,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_44,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_50,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_61,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_63,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_64,10,delayed,,,,,,,,,,,,,,,,,
MBxKSF4_70,10,delayed,,,,,,,,,,,,,,,,,
,620,,,,,,,,,,,,,,,,,,
